,job,company,location,duration,stipend(/month),posted,skills_required,avg_stipend,is_work_from_home,job_gre_5,comp_more_demandable_job,com_gre_5,paid/free
1105,Digital Marketing,IKushal Spaces Private Limited,"Visakhapatnam, Vijayawada",2 Months,5000,2 weeks ago,"['Business Analysis', 'Digital Marketing', 'Email Marketing', 'Facebook Marketing', 'Instagram Marketing', 'Search Engine Optimization (SEO)', 'Social Media Marketing']",5000,0,1,0,0,1
1106,Finance,Globus Thenken,Pune,6 Months,12000-15000,,"['Financial Modeling', 'MS-Excel', 'MS-Office', 'MS-PowerPoint']",13500,0,1,0,0,1
1107,Financial Advertising,ADSMIT MEDIA,Work From Home,1 Month,4750-12000,2 days ago,"['Financial literacy', 'Sales', 'Stock Trading']",8375,1,0,0,1,1
1108,Digital Marketing (Meme & Carousel Making),Lawtech,Work From Home,3 Months,6000-8000,2 days ago,"['Digital Marketing', 'Email Marketing', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'Facebook Marketing', 'Instagram Marketing', 'Search Engine Marketing (SEM)', 'Search Engine Optimization (SEO)', 'Social Media Marketing']",7000,1,0,0,1,1
1109,Sales,Special Situation Advisors India Private Limited,"Panvel, Thane, Vashi Navi Mumbai, Kurla, Panvel Sub-District, Navi Mumbai, Mumbai, Vashi",6 Months,7000-10000,3 weeks ago,"['Client Relationship', 'Effective Communication', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'Market Analysis', 'Marketing', 'MS-Excel', 'MS-Office', 'Sales', 'Sales pitch']",8500,0,1,0,0,1
1110,Accounting & Taxation,Masar & Co,Delhi,6 Months,5000,1 week ago,['Accounting'],5000,0,1,0,0,1
1111,Community Management,InstaLearn,Work From Home,2 Months,1000,2 weeks ago,"['Effective Communication', 'English Proficiency (Spoken)']",1000,1,1,0,0,1
1112,Market Research,Subhansh Sewa Trust,Work From Home,3 Months,0,Today,"['Business Analysis', 'Business Research', 'Digital Marketing', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'Marketing Campaigns', 'MS-Excel', 'MS-Office', 'Research and Analytics', 'Social Media Marketing']",0,1,1,0,1,0
1113,Graphic Design,Dolphin Ad World Private Limited,Mumbai,6 Months,12000,2 weeks ago,"['Adobe Illustrator', 'Adobe Photoshop']",12000,0,1,0,1,1
1114,Business Development (Sales),N3Clouds Technologies Private Limited,Kolkata,6 Months,10000,2 weeks ago,"['Digital Marketing', 'Email Marketing', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'Social Media Marketing']",10000,0,1,0,0,1
1115,Copywriting,Ep.Log Media,Mumbai,3 Months,5000-7000,3 weeks ago,"['Copywriting', 'Creative Writing', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'Hindi Proficiency (Written)', 'Search Engine Optimization (SEO)']",6000,0,1,0,0,1
1116,Financial Accountancy,Indika AI Private Limited,Delhi,3 Months,10000-15000,,"['Accounting', 'Tally']",12500,0,0,0,1,1
1117,Digital Marketing,TopLine Vision,Bangalore,3 Months,5000,3 weeks ago,['NOT MENTIONED'],5000,0,1,0,0,1
1118,Social Media Marketing,Realty Rhinos,Delhi,3 Months,7000,1 week ago,"['Creative Writing', 'Digital Marketing', 'Email Marketing', 'English Proficiency (Spoken)', 'Facebook Marketing', 'Instagram Marketing', 'MS-Excel', 'Search Engine Marketing (SEM)', 'Search Engine Optimization (SEO)', 'Social Media Marketing']",7000,0,1,0,1,1
1119,Graphic Design,Udyogvikas,"Mumbai, Thane, Navi Mumbai, Kalyan",6 Months,10000-12000,1 week ago,['NOT MENTIONED'],11000,0,1,0,1,1
1120,Digital Marketing,Aero Armour,Kolkata,4 Months,5000-10000,1 week ago,"['Creative Writing', 'Digital Marketing', 'Email Marketing', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'Facebook Marketing', 'Instagram Marketing', 'Search Engine Marketing (SEM)', 'Search Engine Optimization (SEO)', 'Social Media Marketing']",7500,0,1,0,0,1
1121,Data Entry,TeachEdison Solutions Private Limited,Coimbatore,6 Months,10000-15000,,"['English Proficiency (Spoken)', 'English Proficiency (Written)', 'LaTeX', 'MS-Word']",12500,0,1,0,0,1
1122,Graphic Design,Triffy Digital Private Limited,Bangalore,6 Months,15000,1 week ago,['NOT MENTIONED'],15000,0,1,0,0,1
1123,Fashion Design And Merchandising,Udyogvikas,"Thane, Mumbai",6 Months,10000-12000,1 week ago,"['Fashion Designing', 'Fashion Styling']",11000,0,1,0,1,1
1124,Business Development (Sales),Prociti,Pune,6 Months,10000,2 weeks ago,['Effective Communication'],10000,0,1,0,0,1
1125,Graphic Design,Reflex Realty LLP,Mumbai,6 Months,8000-12000,1 week ago,"['Adobe After Effects', 'Adobe Illustrator', 'Adobe Indesign', 'Adobe Photoshop', 'Adobe Photoshop Lightroom CC', 'Adobe Premiere Pro', 'CorelDRAW', 'Video Editing']",10000,0,1,0,0,1
1126,Graphic Design,TradeHike Consulting,Delhi,3 Months,10000,2 weeks ago,"['Adobe Illustrator', 'Adobe Indesign', 'Adobe Photoshop', 'Adobe Premiere Pro', 'Canva', 'Figma']",10000,0,1,0,0,1
1127,Field Sales,Snowmist Holidays & Adventure Tourisms LLP,Hyderabad,3 Months,3000-5000,3 weeks ago,"['Effective Communication', 'English Proficiency (Spoken)', 'Hindi Proficiency (Spoken)', 'Telugu Proficiency (Spoken)']",4000,0,1,0,1,1
1128,Customer Acquisition,Snowmist Holidays & Adventure Tourisms LLP,Hyderabad,3 Months,5000,3 weeks ago,"['Effective Communication', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'Hindi Proficiency (Spoken)', 'Marketing', 'MS-Excel', 'Negotiation & Problem-solving', 'Sales', 'Telugu Proficiency (Spoken)']",5000,0,1,0,1,1
1129,Logistics Management,Udyogvikas,"Mumbai, Thane, Navi Mumbai, Kalyan",6 Months,10000-12000,1 week ago,"['Marketing', 'Operations']",11000,0,0,0,1,1
1130,Technical Content Writing,SaffireTech,Mumbai,4 Months,13000,3 weeks ago,"['Blogging', 'Creative Writing', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'Social Media Marketing']",13000,0,0,0,0,1
1131,Social Media Marketing,Relyon Electronics Private Limited,Bangalore,3 Months,5000,3 weeks ago,"['Canva', 'Content Marketing', 'Digital Marketing', 'Email Marketing', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'Google AdWords', 'LinkedIn Marketing', 'Search Engine Marketing (SEM)', 'Social Media Marketing']",5000,0,1,0,0,1
1132,Photography & Videography,Revive Physical Health And Wellness,Bangalore,6 Months,8000,3 weeks ago,"['Adobe Photoshop', 'Adobe Photoshop Lightroom CC', 'Photography', 'Video Editing']",8000,0,0,0,0,1
1133,Animation,Udyogvikas,"Thane, Navi Mumbai, Mumbai, Kalyan",6 Months,10000-12000,1 week ago,"['3ds Max', 'Adobe After Effects', 'Adobe Flash', 'Adobe Illustrator', 'Adobe Photoshop', 'Adobe Premiere Pro', 'Animation', 'Autodesk Maya', 'Blender 3D', 'Video Editing']",11000,0,1,0,1,1
1134,UX/UI Design,FynTune Solution Private Limited,"Thane, Navi Mumbai",6 Months,12000,,"['Design Thinking', 'UI & UX Design', 'User Interface (UI) Development']",12000,0,1,0,1,1
1135,Cold Outreach And Outbound Marketing,KompiTech,Work From Home,3 Months,8000,,"['Digital Marketing', 'Email Marketing', 'Google Workspace', 'Lead Generation', 'MS-Excel']",8000,1,0,0,0,1
1136,Operations & Management (NGO),Sarvam Foundation,Gurgaon,3 Months,10000,1 week ago,"['Canva', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'Hindi Proficiency (Spoken)', 'Hindi Proficiency (Written)', 'MS-Excel', 'MS-Office', 'MS-PowerPoint', 'MS-Word']",10000,0,0,0,0,1
1137,Human Resources (HR),Dolphin Ad World Private Limited,Mumbai,6 Months,8000,2 weeks ago,"['English Proficiency (Spoken)', 'English Proficiency (Written)', 'MS-Office']",8000,0,1,0,1,1
1138,Field Sales,Packin Club,"Faridabad, Chennai, Gurgaon, Lucknow, Patna, Bangalore, Mumbai, Varanasi, Jaipur, Noida, Jammu, Delhi, Punjab, Gujarat, Himachal Pradesh",6 Months,10000-20000,,['Effective Communication'],15000,0,1,0,1,1
1139,Architecture,I'm Design,Gurgaon,5 Months,8000,3 weeks ago,"['Adobe Illustrator', 'Adobe Photoshop', 'AutoCAD', 'Autodesk Revit', 'MS-Office']",8000,0,1,0,0,1
1140,E-Commerce Catalog Management,Oytra,Work From Home,6 Months,8000-10000,2 days ago,"['Canva', 'English Proficiency (Written)', 'Problem Solving']",9000,1,1,0,0,1
1141,Digital Marketing,Plutocrat Simulations Tech,Hyderabad,6 Months,6000-10000,3 weeks ago,"['Digital Marketing', 'Email Marketing', 'English Proficiency (Written)', 'Social Media Marketing']",8000,0,1,0,0,1
1142,Purchase Operations,Eternal Robotics,Hyderabad,6 Months,12000,3 weeks ago,['NOT MENTIONED'],12000,0,0,0,0,1
1143,Business Development (Sales),Hot Stuffs Private Limited,Mumbai,3 Months,10000-15000,2 weeks ago,"['Effective Communication', 'English Proficiency (Spoken)', 'Negotiation & Problem-solving', 'Sales']",12500,0,1,0,0,1
1144,Community Facilitation,Sewa International,Delhi,6 Months,10000,3 weeks ago,"['Effective Communication', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'MS-Office']",10000,0,0,0,0,1
1145,Human Resources (HR),EDWORTHY IT & HR SOLUTIONS,Gurgaon,6 Months,12000,1 week ago,"['Effective Communication', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'MS-Office']",12000,0,1,0,0,1
1146,Content Creation,10xTechClub,Pune,6 Months,5000,2 weeks ago,"['Adobe Illustrator', 'Adobe Photoshop', 'Canva', 'CorelDRAW', 'Photography', 'Video Editing', 'Video Making']",5000,0,1,0,0,1
1147,Business Development (Sales),360Customizer (Namrup Fashion Private Limited),Pune,4 Months,5000,3 weeks ago,"['English Proficiency (Spoken)', 'English Proficiency (Written)', 'MS-Excel']",5000,0,1,0,1,1
1148,Operations,360Customizer (Namrup Fashion Private Limited),Pune,4 Months,5000,3 weeks ago,"['Effective Communication', 'English Proficiency (Spoken)', 'MS-Excel', 'MS-Office', 'MS-Word']",5000,0,1,0,1,1
1149,Teaching (Pre-school),IDZ Digital Private Limited,Mumbai,6 Months,10000,3 weeks ago,['NOT MENTIONED'],10000,0,0,0,1,1
1150,Academic Counseling,The Ikigai Lab,Noida,6 Months,15000-20000,3 weeks ago,"['Effective Communication', 'Email Marketing']",17500,0,0,0,0,1
1151,Chemistry (Subject Matter Expert),HaZZten,Work From Home,6 Months,10000-20000,2 days ago,"['Chemistry', 'Subject Matter Expert (SME)']",15000,1,0,0,1,1
1152,Marketing,PingoLearn Education Private Limited,Pune,2 Months,3500,3 weeks ago,"['English Proficiency (Spoken)', 'English Proficiency (Written)', 'MS-Excel']",3500,0,1,0,0,1
1153,Economics (Subject Matter Expert),HaZZten,Work From Home,6 Months,10000-20000,2 days ago,"['Economics', 'Subject Matter Expert (SME)']",15000,1,0,0,1,1
1154,Interior Design,Udyogvikas,"Thane, Navi Mumbai, Kalyan, Mumbai",6 Months,10000-12000,1 week ago,"['3ds Max', 'Adobe Photoshop', 'AutoCAD']",11000,0,1,0,1,1
1155,Customer Support,Internship Studio,Pune,3 Months,5000-8000,3 weeks ago,"['Effective Communication', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'Negotiation & Problem-solving', 'Problem Solving', 'Time Management']",6500,0,1,0,0,1
1156,Recruitment,Simplify Solutions,"Guntur, Hyderabad, Vijayawada, Vishakhapatnam",2 Months,5000,1 week ago,"['English Proficiency (Spoken)', 'English Proficiency (Written)', 'MS-Excel']",5000,0,1,0,1,1
1157,Statistics (Subject Matter Expert),HaZZten,Work From Home,6 Months,10000-20000,2 days ago,"['Statistics', 'Subject Matter Expert (SME)']",15000,1,0,0,1,1
1158,Video Making/Editing,360Customizer (Namrup Fashion Private Limited),Pune,4 Months,5000,3 weeks ago,"['Adobe After Effects', 'Adobe Illustrator', 'Adobe Photoshop', 'Adobe Premiere Pro', 'Facebook Marketing', 'Final Cut Pro', 'Instagram Marketing', 'Photography', 'Video Editing', 'Video Making']",5000,0,1,0,1,1
1159,Marketing,Incentius,Pune,3 Months,10000,3 weeks ago,"['Content Marketing', 'Digital Marketing', 'Effective Communication', 'Email Marketing', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'LinkedIn Marketing', 'Marketing', 'Marketing Campaigns', 'MS-Office', 'Social Media Marketing']",10000,0,1,0,0,1
1160,Telecalling,Prociti,Pune,3 Months,10000,1 week ago,"['English Proficiency (Spoken)', 'Hindi Proficiency (Spoken)', 'MS-Excel']",10000,0,1,0,0,1
1161,Content Writing,Inskinn,Bangalore,1 Month,6500,1 week ago,['NOT MENTIONED'],6500,0,1,0,0,1
1162,Marketing,Archers Wealth,Pune,3 Months,10000,1 week ago,"['Email Marketing', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'Hindi Proficiency (Spoken)', 'Marathi Proficiency(Spoken)', 'MS-Excel', 'MS-Office', 'Social Media Marketing']",10000,0,1,0,0,1
1163,Sales,Shaurat,Work From Home,6 Months,1000-4000,,"['Client Relationship', 'Effective Communication', 'Email Marketing', 'Lead Generation', 'Sales', 'Sales pitch']",2500,1,1,0,0,1
1164,Interior Design,Purpose DesignLife,Chandigarh,6 Months,2000,3 weeks ago,"['AutoCAD', 'Design Thinking', 'Rhino']",2000,0,1,0,0,1
1165,Telecalling,Lex Hawk,Noida,6 Months,10000,1 week ago,"['Effective Communication', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'Sales', 'Time Management']",10000,0,1,0,0,1
1166,Accounting,Saumya Thakkar & Associates,Mumbai,6 Months,5000-10000,1 week ago,"['MS-Office', 'Tally']",7500,0,1,0,0,1
1167,ASIC Design Engineering,Episodiclabs Private Limited (Teckniklab),Work From Home,3 Months,2000-2500,2 days ago,"['Computer Vision', 'EAGLE', 'Mathematics', 'MATLAB', 'PCB Design']",2250,1,0,0,1,1
1168,Architecture,Studio ASA,Pune,6 Months,8000,3 weeks ago,['AutoCAD'],8000,0,1,0,0,1
1169,iOS App Development,Episodiclabs Private Limited (Teckniklab),Work From Home,3 Months,2000-2500,2 days ago,"['iOS', 'Swift']",2250,1,1,0,1,1
1170,Mechanical Engineering,Udyogvikas,Ambernath,6 Months,15000,1 week ago,"['AutoCAD', 'CNC']",15000,0,1,0,1,1
1171,Travel & Tourism,Snowmist Holidays & Adventure Tourisms LLP,Hyderabad,6 Months,3000-5000,3 weeks ago,"['Adobe Photoshop', 'Audio Editing', 'Audio Making', 'Client Relationship', 'English Proficiency (Spoken)', 'Hindi Proficiency (Spoken)', 'Marketing', 'MS-Excel', 'Negotiation & Problem-solving', 'Photography', 'Social Media Marketing', 'Telugu Proficiency (Spoken)', 'Time Management', 'Video Editing', 'Video Making']",4000,0,1,0,1,1
1172,Recruitment,Disha Skill Training Services,Ulhasnagar,6 Months,8000-10000,1 week ago,"['English Proficiency (Spoken)', 'MS-Excel', 'MS-Office', 'Recruitment']",9000,0,1,0,0,1
1173,Video Making/Editing,Sanskar Fashions Private Limited (Arpera),Pune,6 Months,7000,3 weeks ago,"['Adobe After Effects', 'Adobe Illustrator', 'Adobe Photoshop', 'Adobe Premiere Pro', 'Photography']",7000,0,1,0,0,1
1174,Business Development (Sales),Wonderfill,Work From Home,6 Months,1000,,"['Email Marketing', 'English Proficiency (Written)', 'MS-Excel', 'Social Media Marketing']",1000,1,1,0,0,1
1175,Ruby On Rails Development,Talent Corner HR Services,Mumbai,3 Months,15000,2 days ago,['NOT MENTIONED'],15000,0,0,0,1,1
1176,Graphic Design,Ep.Log Media,Mumbai,3 Months,5000-10000,3 weeks ago,"['Adobe After Effects', 'Adobe Illustrator', 'Adobe Photoshop', 'Copywriting', 'Design Thinking']",7500,0,1,0,0,1
1177,Human Resources (HR),Next Step Talents Private Limited,Kolkata,6 Months,3000-5000,3 weeks ago,"['British English', 'English Proficiency (Spoken)']",4000,0,1,0,0,1
1178,Automobile Engineering,Pro India,Gurgaon,4 Months,7000,1 week ago,"['Effective Communication', 'Research and Analytics', 'SolidWorks']",7000,0,0,0,1,1
1179,Animation,Celebrare,Work From Home,1 Month,8000-12000,2 days ago,"['Adobe After Effects', 'Adobe Premiere Pro', 'Animation', 'Autodesk Maya', 'Blender 3D', 'Video Editing', 'Video Making']",10000,1,1,0,1,1
1180,Social Media Marketing,Presidency College,Berhampura,6 Months,10000,2 days ago,"['Adobe Photoshop Lightroom CC', 'Blogging', 'Digital Marketing', 'English Proficiency (Spoken)', 'Hindi Proficiency (Spoken)', 'Photography', 'Video Editing', 'Video Making', 'YouTube Ads']",10000,0,1,0,0,1
1181,Videography,SGMOID,Hyderabad,2 Months,5000,3 weeks ago,"['Adobe After Effects', 'Adobe Photoshop', 'Adobe Premiere Pro', 'Canva', 'Effective Communication', 'Final Cut Pro', 'Photography', 'Video Editing', 'Video Making']",5000,0,1,0,0,1
1182,Content Specialist And Community Builder Associate,The Ikigai Lab,Noida,3 Months,12000,3 weeks ago,"['Content Marketing', 'Digital Marketing', 'Effective Communication', 'Email Marketing', 'English Proficiency (Written)']",12000,0,0,0,0,1
1183,Farmer Coordination,One Root,"Chamarajanagar, Bannari, Gundlupete, Satyamangalam, Pollachi, Theni, Thalavadi",6 Months,12000-20000,1 week ago,"['Business Analysis', 'Business Research', 'Effective Communication', 'Kannada Proficiency (Spoken)', 'Tamil Proficiency (Spoken)']",16000,0,0,0,0,1
1184,Editorial,Times Internet,Noida,6 Months,10000,2 days ago,"['Content Marketing', 'Content Writing', 'Social Media Marketing']",10000,0,0,0,1,1
1185,Marketing,Ally Spaces,"Bangalore, Hyderabad",5 Months,10000,3 weeks ago,"['Adobe Premiere Pro', 'Canva', 'Digital Marketing', 'Effective Communication', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'MS-Excel', 'Sales pitch']",10000,0,1,0,0,1
1186,Subject Matter Expert (Economics),Innovalance Learning Systems,Work From Home,4 Months,12000,2 days ago,"['Econometrics', 'Economics', 'MS-Excel', 'Subject Matter Expert (SME)']",12000,1,0,0,1,1
1187,Sales,Incentius,Pune,3 Months,10000,3 weeks ago,"['Business Analysis', 'Effective Communication', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'LinkedIn Marketing', 'Market Analysis', 'Sales']",10000,0,1,0,0,1
1188,Civil Engineering,Pro India,Gurgaon,4 Months,7000,1 week ago,"['Effective Communication', 'Engineering Surveying']",7000,0,1,0,1,1
1189,Anchoring,Simplify Solutions,"Delhi, Guntur, Visakhapatnam, Bangalore, Hyderabad, Vijayawada, Odisha, Kashmir, Assam, Calcuta, Uttar Pradesh",2 Months,10000,1 week ago,"['Anchoring', 'Effective Communication', 'English Proficiency (Spoken)', 'Interpersonal Skills']",10000,0,1,0,1,1
1190,Digital Marketing,Inskinn,Bangalore,2 Months,4000-8000,1 week ago,['Adobe Photoshop'],6000,0,1,0,0,1
1191,HR Consultant,Arunoday Ango,Work From Home,3 Months,0,,"['Effective Communication', 'Recruitment']",0,1,1,0,0,0
1192,Social Media Marketing,ASMACS Skill Development Limited,"Mumbai, Mira Bhayandar",6 Months,10000,2 days ago,"['Digital Marketing', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'Facebook Marketing', 'Instagram Marketing', 'Search Engine Marketing (SEM)', 'Search Engine Optimization (SEO)', 'Social Media Marketing']",10000,0,1,0,1,1
1193,Hardware Development,Episodiclabs Private Limited (Teckniklab),Work From Home,3 Months,2500-3000,2 days ago,"['Embedded Systems', 'Python', 'Raspberry Pi']",2750,1,0,0,1,1
1194,City Management- Sales Operations,AssetZilla,"Delhi, Mumbai, Bangalore",3 Months,6000,2 weeks ago,"['Client Relationship', 'Effective Communication', 'MS-Excel', 'Negotiation & Problem-solving']",6000,0,0,0,0,1
1195,Environmental Sciences,Pro India,Gurgaon,4 Months,7000,1 week ago,"['Effective Communication', 'Problem Solving', 'Research and Analytics']",7000,0,0,0,1,1
1196,Ruby On Rails Development,PlanetSpark,Work From Home,6 Months,10000,Today,"['AngularJS', 'CSS', 'HTML', 'JavaScript', 'MongoDB', 'MySQL', 'PostgreSQL', 'REST API', 'Ruby on Rails', 'SQL']",10000,1,0,0,0,1
1197,Business Development (Sales),Stirring Minds,Delhi,6 Months,5000-12000,1 week ago,"['Digital Marketing', 'Email Marketing', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'MS-Excel', 'Social Media Marketing']",8500,0,1,0,1,1
1198,Psychology,Faculty Minds,Mumbai,6 Months,5000,3 weeks ago,"['Canva', 'MS-Office']",5000,0,1,0,0,1
1199,Textile/Bag/Material Science & Fabrication,Infinos Technologies LLP,Hyderabad,1 Month,2000-5000,2 weeks ago,"['Adobe Illustrator', 'Design Thinking', 'Fashion Designing']",3500,0,0,0,0,1
1200,Founder Assistance,W3Dev,Noida,6 Months,8000-10000,3 weeks ago,"['Business Research', 'Content Marketing', 'Product Management', 'Project Management']",9000,0,0,0,1,1
1201,Spring Framework Development,Talent Corner HR Services,Mumbai,3 Months,15000,2 days ago,['NOT MENTIONED'],15000,0,0,0,1,1
1202,Vue.js Developer,Talent Corner HR Services,Mumbai,3 Months,15000,2 days ago,['NOT MENTIONED'],15000,0,0,0,1,1
1203,Angular Development,Talent Corner HR Services,Mumbai,3 Months,15000,2 days ago,['NOT MENTIONED'],15000,0,0,0,1,1
1204,Video Editing,Ep.Log Media,Mumbai,3 Months,6000-10000,3 weeks ago,"['Acting Audition', 'Adobe After Effects', 'Adobe Photoshop', 'Adobe Premiere Pro', 'Video Editing', 'Video Making']",8000,0,1,0,0,1
1205,Flutter Development,Quantasis Private Limited,Mumbai,6 Months,8000-12000,2 days ago,"['Android', 'Cloud Firestore', 'Dart', 'Firebase', 'Flutter', 'iOS', 'REST API']",10000,0,1,1,0,1
1206,Graphic Design,RechargeZap,"Delhi, Noida",4 Months,12000-20000,3 weeks ago,"['Adobe After Effects', 'Adobe Photoshop', 'Adobe Photoshop Lightroom CC', 'Adobe Premiere Pro', 'Canva', 'Final Cut Pro']",16000,0,1,0,1,1
1207,Teaching (NEET Chemistry),Auriv Learning,Work From Home,4 Months,10000,2 days ago,['NOT MENTIONED'],10000,1,0,0,1,1
1208,Deep Learning Research,Episodiclabs Private Limited (Teckniklab),Ahmedabad,3 Months,2000-2500,2 days ago,"['Deep Learning', 'Machine Learning', 'Mathematics', 'Python', 'Statistical Modeling']",2250,0,0,0,1,1
1209,Graphic Design,Miraigate Technologies Private Limited,Indore,3 Months,5000,3 weeks ago,"['Adobe Illustrator', 'Adobe Photoshop', 'Adobe Premiere Pro', 'Figma', 'UI & UX Design']",5000,0,1,0,0,1
1210,Project Management,FynTune Solution Private Limited,"Thane, Navi Mumbai",6 Months,12000-18000,3 weeks ago,"['English Proficiency (Spoken)', 'English Proficiency (Written)', 'MS-Office', 'Product Lifecycle Management(PLM)', 'Product Management']",15000,0,1,0,1,1
1211,Video Anchoring (Reels/Shorts),Hotnot,"Hyderabad, Mumbai, Bangalore, Delhi",1 Month,2000,,"['Anchoring', 'Content Marketing', 'English Proficiency (Spoken)', 'Instagram Marketing', 'Marketing Campaigns']",2000,0,0,0,1,1
1212,Subject Matter Expert- Physics,Innovalance Learning Systems,Work From Home,3 Months,12000,,"['MS-Excel', 'MS-Word']",12000,1,0,0,1,1
1213,Desktop Support Engineering,Isourse,Delhi,6 Months,15000,,"['CCNA', 'Cloud Computing', 'Computer Networking', 'Computer Networks']",15000,0,0,0,1,1
1214,Animation,Aaradhak,Work From Home,2 Months,1000,,"['Adobe After Effects', 'Adobe Premiere Pro', 'Animation']",1000,1,1,0,1,1
1215,Human Resources (HR),Cynergi,Mumbai,6 Months,3000,2 weeks ago,"['Effective Communication', 'English Proficiency (Spoken)', 'Event Management', 'Performance Management System']",3000,0,1,0,0,1
1216,Mechanical Engineering (3D Printing),Garuda3d,Hyderabad,6 Months,8000-10000,,"['AutoCAD', 'Autodesk Fusion 360', 'Rapid Prototyping']",9000,0,0,0,0,1
1217,Law/Legal,Punjabi Burgers,Bangalore,3 Months,15000,1 week ago,"['English Proficiency (Spoken)', 'English Proficiency (Written)']",15000,0,1,0,1,1
1218,Law/Legal,D&K Law Offices,Ahmedabad,3 Months,10000,2 weeks ago,"['English Proficiency (Spoken)', 'English Proficiency (Written)', 'MS-Office']",10000,0,1,0,0,1
1219,Teaching (NEET Physics),Auriv Learning,Work From Home,6 Months,10000,2 days ago,"['Online Teaching', 'Physics']",10000,1,0,0,1,1
1220,Acting,Digital Heroes,Work From Home,1 Month,5000,,['NOT MENTIONED'],5000,1,0,0,0,1
1221,Chartered Accountancy (CA),NEHA B AGARWAL AND CO,Kolkata,36 Months,5000-15000,3 weeks ago,"['Accounting', 'MS-Excel', 'MS-Office', 'MS-Word', 'Tally']",10000,0,1,0,0,1
1222,Field Enumerator - Textile-Based Government Schemes Endline Study,SocioLadder,"Ahmedabad, Ashoknagar, Bhagalpur, Coimbatore, Salem, Nashik, Bhubaneswar, Hyderabad, Varanasi, Kanyakumari, Chittoor, Malda, Guntur, Kolkata, Surat",1 Month,2000-10000,1 week ago,['NOT MENTIONED'],6000,0,0,0,0,1
1223,Content Creation,BotClub Private Limited,"Vijayawada, Visakhapatnam, Hyderabad",3 Months,10000,3 weeks ago,"['Content Writing', 'Creative Writing', 'English Proficiency (Written)']",10000,0,1,0,0,1
1224,Graphic Design,Star Production,Delhi,1 Month,3000-7000,3 weeks ago,"['Adobe Photoshop', 'CorelDRAW', 'UI & UX Design', 'Video Editing']",5000,0,1,0,1,1
1225,Electrical Engineering,Pro India,Gurgaon,4 Months,7000,1 week ago,"['Effective Communication', 'Engineering Surveying']",7000,0,1,0,1,1
1226,Content Marketing,IQnext,Bangalore,6 Months,12000,3 weeks ago,"['Canva', 'Content Marketing', 'Content Writing', 'Creative Writing', 'Search Engine Optimization (SEO)', 'Social Media Marketing']",12000,0,0,0,0,1
1227,Environmental Sciences,Earth5R,Mumbai,3 Months,8000,1 week ago,['English Proficiency (Written)'],8000,0,0,0,1,1
1228,Law/Legal,Exa Mobility India Private Limited,Pune,3 Months,10000-20000,2 weeks ago,"['Creative Writing', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'MS-Office', 'Report Writing']",15000,0,1,0,1,1
1229,Media & Public Relations (PR),Veritas Reputation PR Private Limited,"Mumbai, Bangalore",3 Months,10000,3 weeks ago,"['Creative Writing', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'Financial literacy']",10000,0,1,0,0,1
1230,Company Secretary (CS),"AAS & Associates, Company Secretaries",Mumbai,24 Months,9000-12000,3 weeks ago,['MS-Office'],10500,0,1,0,0,1
1231,Podcast Production,Ep.Log Media,Mumbai,3 Months,5000-10000,3 weeks ago,"['Adobe Audition', 'Adobe Photoshop', 'Adobe Premiere Pro', 'Content Writing', 'Creative Writing', 'Video Editing', 'Video Making']",7500,0,0,0,0,1
1232,Cloud Cost Analysis,Digite Infotech Private Limited,Mumbai,6 Months,17000-20000,2 days ago,"['Amazon Web Services (AWS)', 'JavaScript', 'MS-Excel', 'Python']",18500,0,0,0,0,1
1233,Product Management,FynTune Solution Private Limited,"Thane, Navi Mumbai, Turbhe",6 Months,12000-18000,1 week ago,"['English Proficiency (Spoken)', 'English Proficiency (Written)', 'MS-Office', 'Product Lifecycle Management(PLM)', 'Product Management']",15000,0,1,0,1,1
1234,Graphic Design,Jones Asset Management,Bangalore,3 Months,15000,,"['Adobe After Effects', 'Adobe Illustrator', 'Adobe Indesign', 'Adobe Photoshop', 'Adobe Premiere Pro']",15000,0,1,0,0,1
